parent2_code,parent2_name,parent2_name_EN,parent1_code,parent1_name,parent0_code,parent0_name,parent0_name_EN,short_name,gender,gender_EN,year,prevalence_diff,ci_low,ci_high,se,z,p_value,fold_diff_nat,fold_ci_low_nat,fold_ci_high_nat,ci_width_nat,fold_diff_reg,sig,meta_model_type
A04,Soole muud bakternakkused,Other bacterial intestinal infections,A00-A09,Soolenakkushaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,-0.544671285935352,-0.796690858760214,-0.29265171311048993,0.12858377746364746,-4.235925376273369,2.2761236544065295e-5,0.6855475848125806,0.5756680868242946,0.8164001128410795,0.2407320260167849,1.4586879483696036,sig,Random-Effects
A08,Soole viirus- ja muud täpsustatud nakkused,Viral and other specified intestinal infections,A00-A09,Soolenakkushaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,-0.12661222526661864,-0.3332205291058542,0.07999607857261692,0.10541433693115565,-1.2010911319330972,0.22971585262551902,0.9159798549449895,0.7937625878007123,1.0570151674567132,0.2632525796560009,1.0917270664866932,nosig,Random-Effects
A09,"Oletatavalt nakkusliku päritoluga kõhulahtisus ja gastroenteriit; Peensoole- või soolekatarr; Teisiti täpsustamata, hemorraagiline või septiline+koliit; Teisiti täpsustamata, hemorraagiline või septiline+enteriit; Teisiti täpsustamata, hemorraagiline või septiline+gastroenteriit; Teisiti täpsustamata diarrhöa; Düsenteeriline diarrhöa; Epideemiline diarrhöa; Teisiti täpsustamata kõhulahtisusega nakkushaigus","Infectious gastroenteritis and colitis, unspecified",A00-A09,Soolenakkushaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,0.14516582760525104,0.018275928494581123,0.27205572671592093,0.06474093407407548,2.24225723155546,0.024944752169818275,1.1058577565538048,1.0127484861499978,1.2075272335179652,0.1947787473679674,1.1058577565538048,sig,Random-Effects
A41,Muu septitseemia,Other sepsis,A30-A49,Muud bakterhaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,-1.0108469553151314,-1.2365935250435183,-0.7851003855867444,0.11517893773000272,-8.776317747301276,1.6891415373302174e-18,0.49625482849949054,0.4243734999586425,0.5803115765547542,0.1559380765961117,2.015093743316649,sig,Random-Effects
A46,Erüsiipel e roos,Erysipelas,A30-A49,Muud bakterhaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,-0.5817402289532013,-0.803126063329938,-0.36035439457646473,0.1129540318715037,-5.150238723793303,2.6015511352847505e-7,0.6681573364862033,0.5731060124196784,0.7789732032568859,0.2058671908372075,1.496653475750092,sig,Random-Effects
A49,Täpsustamata paikme bakternakkus,Bacterial infection of unspecified site,A30-A49,Muud bakterhaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,-0.34091152569330463,-0.5519315477785118,-0.12989150360809748,0.1076652549484104,-3.166402437412683,0.001543371085982268,0.7895423044632341,0.6821062808853194,0.9139001765648905,0.2317938956795711,1.2665565788521544,sig,Random-Effects
A56,Muud suguliselt levivad klamüüdiahaigused,Other sexually transmitted chlamydial diseases,A50-A64,Peamiselt suguliselt levivad nakkushaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,0.015212124320829046,-0.402665248669082,0.43308949731074003,0.21320665904377556,0.07134919889019833,0.943119839918419,1.0106000274960403,0.7564595010465897,1.3501217370685064,0.5936622360219167,1.0106000274960403,nosig,Random-Effects
A59,Trihhomoniaas,Trichomoniasis,A50-A64,Peamiselt suguliselt levivad nakkushaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,-1.4715555213200062,-2.0168993156707087,-0.926211726969304,0.27824174252807943,-5.288766192842186,1.2314417855789679e-7,0.36059329563298237,0.2470886563582835,0.5262383420261628,0.27914968566787934,2.7732074115371685,sig,Random-Effects
A60,Anogenitaalsed herpesviirusnakkused [herpes simplex],Anogenital herpesviral [herpes simplex] infections,A50-A64,Peamiselt suguliselt levivad nakkushaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,0.3668978664849138,0.14664828403076904,0.5871474489390586,0.11237430085014083,3.264962395398556,0.001094786100098065,1.2895769536834099,1.1069946763207048,1.502273457175685,0.39527878085498025,1.2895769536834099,sig,Random-Effects
A63,Peamiselt suguliselt levivad mujal klassifitseerimata muud haigused,"Other predominantly sexually transmitted diseases, not elsewhere classified",A50-A64,Peamiselt suguliselt levivad nakkushaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,0.08808436604552841,-0.03752746287558553,0.21369619496664236,0.06408884546446979,1.374410248884285,0.16931435615721574,1.062957832281258,0.9743233439864629,1.1596554266935124,0.18533208270704948,1.062957832281258,nosig,Random-Effects
A66,Framböösia e vaariktüügas,Yaws,A65-A69,Muud spirohetoosid e spiroheethaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,-0.8395498485928771,-1.1634731701254377,-0.5156265270603164,0.165270037657644,-5.0798672311795565,3.7769874077544636e-7,0.5588179048577983,0.4464364814706832,0.6994890958752573,0.2530526144045741,1.7894916954288873,sig,Random-Effects
A69,Muud spiroheetnakkused,Other spirochetal infections,A65-A69,Muud spirohetoosid e spiroheethaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,0.29868405477354315,0.11151865903678587,0.48584945051030043,0.09549430357552184,3.1277682918262064,0.0017613898045464953,1.230021944699764,1.08036488881824,1.4004101763228698,0.3200452875046298,1.230021944699764,sig,Random-Effects
A74,Muud klamüüdiahaigused,Other diseases caused by chlamydiae,A70-A74,Muud klamüdioosid e klamüüdiahaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,-0.44917554425001566,-0.6884854813812538,-0.20986560711877755,0.12209915030015063,-3.6787769869473164,2.3435507834894967e-4,0.7324613074548023,0.6205049044896069,0.8646177702006937,0.2441128657110868,1.3652598298671315,sig,Random-Effects
B00,Herpesviirusnakkused [herpes simplex],Herpesviral [herpes simplex] infections,B00-B09,Naha- ja limaskestakahjustusega viirushaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,0.15099756406619214,0.01934244828745224,0.28265267984493203,0.06717221174328646,2.247917109581904,0.02458147595783769,1.110336958866792,1.0134974425227896,1.2164294752996718,0.2029320327768822,1.110336958866792,sig,Random-Effects
B02,Vöötohatis,Zoster [herpes zoster],B00-B09,Naha- ja limaskestakahjustusega viirushaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,-0.04053333985626654,-0.1780118224210488,0.09694514270851573,0.07014337184213335,-0.577864148696644,0.5633558416518945,0.9722954398522068,0.8839202875920192,1.069506420010731,0.1855861324187117,1.0284939731405143,nosig,Random-Effects
B07,Viirustüükad [soolatüükad]; Harilik tüügas; Lihttüügas,Viral warts,B00-B09,Naha- ja limaskestakahjustusega viirushaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,0.12464149160581113,-0.08756306000276563,0.3368460432143879,0.10826961785135811,1.1512139238999601,0.24964423830819038,1.0902367761616951,0.9411110927689856,1.262992474775999,0.32188138200701344,1.0902367761616951,nosig,Random-Effects
B08,Naha- ja limaskestakahjustusega mujal klassifitseerimata muud viirushaigused,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified",B00-B09,Naha- ja limaskestakahjustusega viirushaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,-0.634370117898378,-1.46619354177228,0.19745330597552,0.424407504645603,-1.49471936983796,0.134987696926982,0.6442220213434666,0.36193598506362584,1.1466724225028435,0.7847364374392176,1.5522598838124015,nosig,Pass-Through
B18,Krooniline viirushepatiit,Chronic viral hepatitis,B15-B19,Viirushepatiit,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,-0.5029065322417918,-0.7662795379931719,-0.23953352649041165,0.13437645172504847,-3.7425198074942725,1.821841672837758e-4,0.7056836392879768,0.5879316958915538,0.8470191388534689,0.2590874429619151,1.4170655862292394,sig,Random-Effects
B23,Muude haigusseisunditena avalduv HIV-tõbi,Human immunodeficiency virus [HIV] disease resulting in other conditions,B20-B24,Inimese immuunpuudulikkuse viirustõbi e HIV-tõbi,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,-1.6155033200570428,-2.0838572119871284,-1.1471494281269574,0.23896045826576473,-6.7605466267575025,1.3747207824762025e-11,0.32635107121891826,0.23588290763318168,0.4515164865245766,0.21563357889139492,3.0641848248421835,sig,Random-Effects
B27,Nakkuslik mononukleoos,Infectious mononucleosis,B25-B34,Muud viirushaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,-0.3724266921277713,-0.9026008201628992,0.15774743590735668,0.2705019746368168,-1.3767984231087458,0.16857457852431448,0.7724820462245137,0.5349215311093418,1.1155440135335217,0.5806224824241799,1.2945284681857328,nosig,Random-Effects
B33,Mujal klassifitseerimata muud viirushaigused,"Other viral diseases, not elsewhere classified",B25-B34,Muud viirushaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,0.10312151085256943,-0.1478251651600278,0.35406818686516667,0.1280363710721384,0.8054079476719049,0.420584306940977,1.0740949333540841,0.9026101047924125,1.2781597721224762,0.3755496673300637,1.0740949333540841,nosig,Random-Effects
B34,Täpsustamata paikme viirusnakkus,Viral infection of unspecified site,B25-B34,Muud viirushaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,0.22124755571084295,0.06979098343546913,0.37270412798621677,0.0772751813145772,2.8631127348659717,0.004195012761641941,1.165741213472801,1.0495646124814566,1.2947774349747794,0.24521282249332277,1.165741213472801,sig,Random-Effects
B35,Dermatofütoos e nahaseenhaigustu[mu]s,Dermatophytosis,B35-B49,Mükoosid e seenhaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,0.02208864359248558,-0.06795217698082108,0.11212946416579224,0.045940038329039305,0.480814653097994,0.6306482349874167,1.0154284899825043,0.9539911732957704,1.080822388226095,0.12683121493032457,1.0154284899825043,nosig,Random-Effects
B36,Muud pindmised mükoosid,Other superficial mycoses,B35-B49,Mükoosid e seenhaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,-0.23136242180382252,-0.3791544552832283,-0.08357038832441677,0.07540548430745182,-3.068243960352875,0.0021532075624551322,0.8518300785534447,0.7688880938815089,0.9437192336602758,0.17483113977876685,1.1739430494144718,sig,Random-Effects
B37,Kandidiaas,Candidiasis,B35-B49,Mükoosid e seenhaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,0.11258637458869858,0.06273692533517036,0.1624358238422268,0.025433859829432744,4.426633446269552,9.571517770863956e-6,1.081164745557118,1.0444452914613815,1.1191751416678282,0.07472985020644662,1.081164745557118,sig,Random-Effects
B77,Askaridiaas e solgetõbi,Ascariasis,B65-B83,Helmintiaasid e nugiusshaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,-0.33522927050785584,-0.5281327271240777,-0.14232581389163407,0.09842193945287754,-3.4060421118642648,6.591201146754144e-4,0.7926581587878151,0.6934516844699727,0.9060572939167696,0.21260560944679685,1.261577880595168,sig,Random-Effects
B80,Enterobiaas e naaskelsabatõbi; Naaskelsabanakkus; Oksüuriaas,Enterobiasis,B65-B83,Helmintiaasid e nugiusshaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,-0.049295233841053235,-0.1139287581555428,0.015338290473436336,0.03297689387371941,-1.4948416315321484,0.13495577835426348,0.9664083105438431,0.9240682028093724,1.0106884100641111,0.08662020725473873,1.0347593135216866,nosig,Random-Effects
B82,Täpsustamata soolenugilishaigused,Unspecified intestinal parasitism,B65-B83,Helmintiaasid e nugiusshaigused,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,-0.8392109724891031,-1.8244163272008058,0.14599438222259953,0.5026650298081379,-1.6695232863312999,0.09501371940438678,0.5589491815804256,0.2823553109112907,1.1064930444590924,0.8241377335478017,1.7890714092692752,nosig,Random-Effects
B86,Skaabies e sügelised; Sarkoptiline sügelus e süüdiklesta-sügelus,Scabies,B85-B89,"Pedikuloos, akariaas ja muud infestatsioonid e nugilisnakkused",A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,-0.503841444959182,-0.8377134140856484,-0.16996947583271566,0.17034597153825579,-2.9577538019208798,0.003098895217257839,0.7052264817696781,0.559529687935635,0.8888614872683032,0.3293317993326682,1.4179841878464696,sig,Random-Effects
B90,Tuberkuloosi jääknähud,Sequelae of tuberculosis,B90-B94,Nakkus- ja parasiithaiguste jääknähud,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,-0.4207825783426621,-0.6494361240359563,-0.19212903264936781,0.11666211598625502,-3.606848502492773,3.0993849486152773e-4,0.7470192997729561,0.6375294427377927,0.8753130394054462,0.23778359666765359,1.3386534997207342,sig,Random-Effects
B94,Muude ning täpsustamata nakkus- ja parasiithaiguste jääknähud,Sequelae of other and unspecified infectious and parasitic diseases,B90-B94,Nakkus- ja parasiithaiguste jääknähud,A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,-1.02215049429779,-1.77333475430918,-0.270966234286388,0.383264318087804,-2.66695970915721,0.00765408472798952,0.49238185610402135,0.29253177517355977,0.8287643011655846,0.5362325259920249,2.030944048004763,sig,Pass-Through
B96,Muud bakterid mujal klassifitseeritud haiguste tekitajatena,Other bacterial agents as the cause of diseases classified elsewhere,B95-B97,"Bakterid, viirused ja muud nakkushaiguste tekitajad",A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,-0.7180794156635599,-0.9048206757543681,-0.5313381555727518,0.09527790386139717,-7.536683601983579,4.8207406766386514e-14,0.6079061774152181,0.5340990873974235,0.6919126605146214,0.1578135731171979,1.644990686312717,sig,Random-Effects
B97,Viirused mujal klassifitseeritud haiguste tekitajatena,Viral agents as the cause of diseases classified elsewhere,B95-B97,"Bakterid, viirused ja muud nakkushaiguste tekitajad",A00-B99,Teatavad nakkus- ja parasiithaigused,Certain infectious and parasitic diseases,Infectious diseases,N,F,MetaAgeCombined,0.1681780523032605,0.10684425146042781,0.22951185314609318,0.03129333055434992,5.374245864024306,7.690386373247695e-8,1.1236385699602105,1.076870114615564,1.1724381787240463,0.0955680641084824,1.1236385699602105,sig,Random-Effects
C16,Mao pahaloomuline kasvaja,Malignant neoplasm of stomach,C15-C26,Seedeelundite pahaloomulised kasvajad,C00-D48,Kasvajad,Neoplasms,Neoplasms,N,F,MetaAgeCombined,-0.17437029612161145,-0.8224700812330559,0.4737294889898329,0.3306692317938355,-0.5273254338653656,0.5979676149971269,0.8861542210534449,0.5654729502509861,1.388694725613833,0.8232217753628468,1.1284717448066965,nosig,Random-Effects
C18,Käärsoole pahaloomuline kasvaja,Malignant neoplasm of colon,C15-C26,Seedeelundite pahaloomulised kasvajad,C00-D48,Kasvajad,Neoplasms,Neoplasms,N,F,MetaAgeCombined,-0.037367326449465096,-0.20754209827256376,0.13280744537363354,0.08682545861322738,-0.4303729234062737,0.6669243883169227,0.9744314980407232,0.8660113881087431,1.096425240374159,0.23041385226541589,1.02623940421742,nosig,Random-Effects
C19,Pärasoole ja sigmakäärsoole ühenduskoha pahaloomuline kasvaja; Käärsool koos pärasoolega,Malignant neoplasm of rectosigmoid junction,C15-C26,Seedeelundite pahaloomulised kasvajad,C00-D48,Kasvajad,Neoplasms,Neoplasms,N,F,MetaAgeCombined,-0.5380089362980595,-1.1994081031538337,0.12339023055771481,0.33745475532857067,-1.5943142830339272,0.11086566018462417,0.6887207571250389,0.43545389938579687,1.0892916149423235,0.6538377155565267,1.4519672736078835,nosig,Random-Effects
C20,Pärasoole pahaloomuline kasvaja; Pärasooleampull,Malignant neoplasm of rectum,C15-C26,Seedeelundite pahaloomulised kasvajad,C00-D48,Kasvajad,Neoplasms,Neoplasms,N,F,MetaAgeCombined,-0.697696190088848,-1.062401766358088,-0.3329906138196079,0.18607769282802708,-3.749488611370835,1.7719554324070158e-4,0.6165559864941009,0.4788342432410166,0.7938890959608617,0.31505485271984507,1.6219127247247445,sig,Random-Effects
C22,Maksa ja maksasiseste sapijuhade pahaloomuline kasvaja,Malignant neoplasm of liver and intrahepatic bile ducts,C15-C26,Seedeelundite pahaloomulised kasvajad,C00-D48,Kasvajad,Neoplasms,Neoplasms,N,F,MetaAgeCombined,-0.892072056570595,-2.02425357564772,0.240109462506527,0.577654246714545,-1.54430104451638,0.122515419662402,0.5388396590671759,0.24583230593348995,1.1810822710265898,0.9352499650930999,1.8558396420396597,nosig,Pass-Through
C25,Kõhunäärme pahaloomuline kasvaja,Malignant neoplasm of pancreas,C15-C26,Seedeelundite pahaloomulised kasvajad,C00-D48,Kasvajad,Neoplasms,Neoplasms,N,F,MetaAgeCombined,-0.740357682577088,-1.71978614883958,0.239070783685403,0.499717583582197,-1.48155219448128,0.138459487184103,0.5985909272557667,0.30359371956051473,1.1802322482547165,0.8766385286942018,1.670589971325641,nosig,Pass-Through
C34,Bronhi ja kopsu pahaloomuline kasvaja,Malignant neoplasm of bronchus and lung,C30-C39,Hingamiselundite ja rindkeresiseste elundite pahaloomulised kasvajad,C00-D48,Kasvajad,Neoplasms,Neoplasms,N,F,MetaAgeCombined,-0.29298762918789206,-0.8921331917209254,0.30615793334514135,0.3056921286610455,-0.9584402139211105,0.33784082533299925,0.8162100449535107,0.538816825866349,1.236410604683417,0.6975937788170679,1.2251748262384563,nosig,Random-Effects
C43,Naha pahaloomuline melanoom,Malignant melanoma of skin,C43-C44,Melanoom ja naha muud pahaloomulised kasvajad,C00-D48,Kasvajad,Neoplasms,Neoplasms,N,F,MetaAgeCombined,0.3331258424359589,0.19954586348362977,0.466705821388288,0.06815430283719037,4.887818209097418,1.0195961225263838e-6,1.2597398588990887,1.1483368206760314,1.3819503855714164,0.23361356489538498,1.2597398588990887,sig,Random-Effects
C44,Naha muud pahaloomulised kasvajad,Other and unspecified malignant neoplasm of skin,C43-C44,Melanoom ja naha muud pahaloomulised kasvajad,C00-D48,Kasvajad,Neoplasms,Neoplasms,N,F,MetaAgeCombined,0.3545110985714667,0.2465160175077143,0.46250617963521906,0.05510054364039534,6.433894752202904,1.243749968602429e-10,1.2785522312475657,1.186338748528372,1.3779334191485644,0.1915946706201923,1.2785522312475657,sig,Random-Effects
C50,Rinna pahaloomuline kasvaja,Malignant neoplasm of breast,C50-C50,Rinna pahaloomuline kasvaja,C00-D48,Kasvajad,Neoplasms,Neoplasms,N,F,MetaAgeCombined,0.04028311877423161,-0.1500661972264405,0.2306324347749037,0.09711878253994628,0.4147819579355066,0.6783015284540411,1.0283156065756132,0.9012091102040191,1.1733491980430442,0.2721400878390251,1.0283156065756132,nosig,Random-Effects
C53,Emakakaela pahaloomuline kasvaja,Malignant neoplasm of cervix uteri,C51-C58,Naissuguelundite pahaloomulised kasvajad,C00-D48,Kasvajad,Neoplasms,Neoplasms,N,F,MetaAgeCombined,-0.3568832011063867,-0.5713484125161271,-0.1424179896966463,0.10942303690344042,-3.261499691525796,0.0011082455314392256,0.7808497067223077,0.672987487757152,0.9059994064976347,0.23301191874048266,1.280656176714975,sig,Random-Effects
C54,Emakakeha pahaloomuline kasvaja,Malignant neoplasm of corpus uteri,C51-C58,Naissuguelundite pahaloomulised kasvajad,C00-D48,Kasvajad,Neoplasms,Neoplasms,N,F,MetaAgeCombined,-0.3195192247725684,-0.6442790865459107,0.005240637000773984,0.16569685174574983,-1.9283361235061254,0.05381333140223913,0.8013368770049225,0.6398124244823672,1.0036391384045393,0.36382671392217214,1.2479146145596107,nosig,Random-Effects
C56,Munasarja pahaloomuline kasvaja,Malignant neoplasm of ovary,C51-C58,Naissuguelundite pahaloomulised kasvajad,C00-D48,Kasvajad,Neoplasms,Neoplasms,N,F,MetaAgeCombined,-0.5136123873534749,-0.6391506625038194,-0.3880741122031305,0.06405131734081565,-8.018763839322066,1.0681464392436442e-15,0.7004663312839011,0.6420908466180619,0.7641490045320417,0.12205815791397978,1.4276203656599407,sig,Random-Effects
C64,Neeru (v.a neeruvaagna) pahaloomuline kasvaja,"Malignant neoplasm of kidney, except renal pelvis",C64-C68,Kuseteede pahaloomulised kasvajad,C00-D48,Kasvajad,Neoplasms,Neoplasms,N,F,MetaAgeCombined,-0.5421797506216501,-0.7110005969481397,-0.37335890429516067,0.08613466760518398,-6.294559039884415,3.082749304053464e-10,0.6867325488786811,0.610896298064353,0.7719830602733997,0.16108676220904672,1.4561709673333993,sig,Random-Effects
C67,Kusepõie pahaloomuline kasvaja,Malignant neoplasm of bladder,C64-C68,Kuseteede pahaloomulised kasvajad,C00-D48,Kasvajad,Neoplasms,Neoplasms,N,F,MetaAgeCombined,-0.460463186088906,-0.9349053300456394,0.013978957867827269,0.24206676637890925,-1.9022156282624063,0.057142970510247824,0.7267528927280099,0.5230767931801357,1.0097365701839511,0.48665977700381546,1.3759835151757063,nosig,Random-Effects
C71,Peaaju pahaloomuline kasvaja,Malignant neoplasm of brain,C69-C72,"Silma, peaaju ja kesknärvisüsteemi muude osade pahaloomulised kasvajad",C00-D48,Kasvajad,Neoplasms,Neoplasms,N,F,MetaAgeCombined,-1.2733888756265,-2.33418269878179,-0.212595052471199,0.541231283596384,-2.35276288385449,0.0186345126276532,0.413686884518714,0.19830834600472166,0.8629835398794884,0.6646751938747667,2.4172871740021598,sig,Pass-Through
C73,Kilpnäärme pahaloomuline kasvaja,Malignant neoplasm of thyroid gland,C73-C75,Kilpnäärme ja muude sisesekretsiooninäärmete pahaloomulised kasvajad,C00-D48,Kasvajad,Neoplasms,Neoplasms,N,F,MetaAgeCombined,0.048326031653454025,-0.27783498723990113,0.37448705054680914,0.16641174096364614,0.2904003730362463,0.7715099583514061,1.0340643959082283,0.8248278854855753,1.2963785459987929,0.4715506605132176,1.0340643959082283,nosig,Random-Effects
C81,Hodgkini tõbi,Hodgkin lymphoma,C81-C96,Lümfoid- ja vereloomekoe ning nendesarnaste kudede pahaloomulised kasvajad,C00-D48,Kasvajad,Neoplasms,Neoplasms,N,F,MetaAgeCombined,-0.300422011379153,-1.17645755339277,0.575613530634461,0.446965122279629,-0.672137480989409,0.501496177303573,0.8120148342832402,0.442436540471384,1.4903111085570098,1.0478745680856258,1.231504595458152,nosig,Pass-Through
C83,Difuusne mitte-Hodgkini tüüpi lümfoom,Non-Hodgkin lymphoma,C81-C96,Lümfoid- ja vereloomekoe ning nendesarnaste kudede pahaloomulised kasvajad,C00-D48,Kasvajad,Neoplasms,Neoplasms,N,F,MetaAgeCombined,-0.4386298681509719,-0.8912818906978391,0.014022154395895381,0.23094915320757362,-1.8992486530432868,0.057531790520721056,0.7378350001448564,0.5391348630547294,1.0097668037162277,0.4706319406614984,1.3553165678013022,nosig,Random-Effects
C90,Hulgine müeloom e hulgimüeloom ja plasmarakulised pahaloomulised kasvajad,Multiple myeloma and malignant plasma cell neoplasms,C81-C96,Lümfoid- ja vereloomekoe ning nendesarnaste kudede pahaloomulised kasvajad,C00-D48,Kasvajad,Neoplasms,Neoplasms,N,F,MetaAgeCombined,-0.48513180716306475,-1.1387036918732658,0.16844007754713636,0.3334611706467532,-1.4548374739467986,0.14571426105780308,0.7144317951401117,0.45416747853467776,1.1238426660445044,0.6696751875098267,1.3997137400693145,nosig,Random-Effects
C91,Lümfoidne leukeemia e lümfoidleukeemia,Lymphoid leukemia,C81-C96,Lümfoid- ja vereloomekoe ning nendesarnaste kudede pahaloomulised kasvajad,C00-D48,Kasvajad,Neoplasms,Neoplasms,N,F,MetaAgeCombined,-0.33421967327315616,-0.5275498674499131,-0.1408894790963992,0.0986396666988378,-3.388288752977853,7.033018108935623e-4,0.7932130546878481,0.6937319007799316,0.9069598059709529,0.2132279051910213,1.260695337891947,sig,Random-Effects
C92,Müeloidne leukeemia e müeloidleukeemia,Myeloid leukaemia,C81-C96,Lümfoid- ja vereloomekoe ning nendesarnaste kudede pahaloomulised kasvajad,C00-D48,Kasvajad,Neoplasms,Neoplasms,N,F,MetaAgeCombined,-1.05372648838269,-2.12459761054194,0.0171446337765684,0.546372857157657,-1.92858498473805,0.0537824045738585,0.4817222650942243,0.22931496129194004,1.0119546469193579,0.7826396856274178,2.075884949607636,nosig,Pass-Through
D04,Nahakartsinoom in situ,Carcinoma in situ of skin,D00-D09,Kasvajad in situ,C00-D48,Kasvajad,Neoplasms,Neoplasms,N,F,MetaAgeCombined,0.3827887590433197,-0.18275219673209436,0.9483297148187337,0.2885466060786469,1.3266098126934336,0.184637788167957,1.3038598087281257,0.8810206888892326,1.929637319822674,1.0486166309334415,1.3038598087281257,nosig,Random-Effects
D06,Emakakaelakartsinoom in situ,Carcinoma in situ of cervix uteri,D00-D09,Kasvajad in situ,C00-D48,Kasvajad,Neoplasms,Neoplasms,N,F,MetaAgeCombined,-1.21016246476753,-2.39328796341988,-0.0270369661151826,0.603646550643119,-2.00475338338012,0.0449894183908436,0.4322199397633046,0.19034809499455363,0.9814339162907808,0.7910858212962272,2.3136368964088683,sig,Pass-Through
D10,Suu ja neelu healoomuline kasvaja,Benign neoplasm of mouth and pharynx,D10-D36,Healoomulised kasvajad,C00-D48,Kasvajad,Neoplasms,Neoplasms,N,F,MetaAgeCombined,-0.4376364642961706,-0.7732932788819757,-0.1019796497103655,0.17125662371014128,-2.5554425564110614,0.010605286423887776,0.7383432298970197,0.5850803703325017,0.931753572291194,0.34667320195869233,1.354383651813906,sig,Random-Effects
D12,"Käärsoole, pärasoole, päraku ja pärakukanali healoomuline kasvaja","Benign neoplasm of colon, rectum, anus and anal canal",D10-D36,Healoomulised kasvajad,C00-D48,Kasvajad,Neoplasms,Neoplasms,N,F,MetaAgeCombined,0.32644525478673564,-0.07900568117163342,0.7318961907451047,0.20686652364865601,1.5780477625329714,0.11455463754152874,1.253919954407697,0.9467099031917118,1.6608205393869238,0.714110636195212,1.253919954407697,nosig,Random-Effects
